STUID,经度,纬度,经济指数
217,0.111147968,0.36971156,0.338547876
218,0.111147968,0.36971156,0.338547876
219,0.111147968,0.36971156,0.338547876
220,0.111147968,0.36971156,0.338547876
221,0.111147968,0.36971156,0.338547876
222,0.111147968,0.36971156,0.338547876
223,0.111147968,0.36971156,0.338547876
224,0.111147968,0.36971156,0.338547876
225,0.111147968,0.36971156,0.338547876
226,0.111147968,0.36971156,0.338547876
227,0.111147968,0.36971156,0.338547876
228,0.111147968,0.36971156,0.338547876
229,0.111147968,0.36971156,0.338547876
230,0.111147968,0.36971156,0.338547876
231,0.111147968,0.36971156,0.338547876
232,0.111147968,0.36971156,0.338547876
233,0.111147968,0.36971156,0.338547876
234,0.111147968,0.36971156,0.338547876
235,0.111147968,0.36971156,0.338547876
236,0.111147968,0.36971156,0.338547876
237,0.111147968,0.36971156,0.338547876
238,0.111147968,0.36971156,0.338547876
239,0.111147968,0.36971156,0.338547876
240,0.111147968,0.36971156,0.338547876
241,0.111147968,0.36971156,0.338547876
242,0.111147968,0.36971156,0.338547876
243,0.111147968,0.36971156,0.338547876
244,0.111147968,0.36971156,0.338547876
245,0.111147968,0.36971156,0.338547876
246,0.111147968,0.36971156,0.338547876
247,0.111147968,0.36971156,0.338547876
248,0.111147968,0.36971156,0.338547876
249,0.111147968,0.36971156,0.338547876
250,0.111147968,0.36971156,0.338547876
251,0.111147968,0.36971156,0.338547876
252,0.111147968,0.36971156,0.338547876
253,0.111147968,0.36971156,0.338547876
254,0.111147968,0.36971156,0.338547876
255,0.111147968,0.36971156,0.338547876
256,0.111147968,0.36971156,0.338547876
257,0.111147968,0.36971156,0.338547876
258,0.111147968,0.36971156,0.338547876
259,0.111147968,0.36971156,0.338547876
260,0.111147968,0.36971156,0.338547876
261,0.111147968,0.36971156,0.338547876
262,0.111147968,0.36971156,0.338547876
263,0.111147968,0.36971156,0.338547876
264,0.111147968,0.36971156,0.338547876
265,0.111147968,0.36971156,0.338547876
266,0.111147968,0.36971156,0.338547876
267,0.111147968,0.36971156,0.338547876
268,0.111147968,0.36971156,0.338547876
269,0.111147968,0.36971156,0.338547876
270,0.111147968,0.36971156,0.338547876
271,0.111147968,0.36971156,0.338547876
272,0.111147968,0.36971156,0.338547876
273,0.111147968,0.36971156,0.338547876
274,0.111147968,0.36971156,0.338547876
275,0.111147968,0.36971156,0.338547876
276,0.111147968,0.36971156,0.338547876
277,0.111147968,0.36971156,0.338547876
278,0.111147968,0.36971156,0.338547876
279,0.111147968,0.36971156,0.338547876
280,0.111147968,0.36971156,0.338547876
281,0.111147968,0.36971156,0.338547876
282,0.111147968,0.36971156,0.338547876
283,0.111147968,0.36971156,0.338547876
284,0.111147968,0.36971156,0.338547876
285,0.111147968,0.36971156,0.338547876
